,susceptible,exposed,infectious,recovered
159,509926.1549284429,78687.25014004846,75452.78712124669,341189.32810202497
160,494779.2173699145,78137.73889863395,75992.58269090153,356379.12217046536
161,480001.309109951,77353.1395283738,76312.20954989825,371655.1448724177
162,465627.45049911056,76344.51307416479,76409.95569929881,386973.0268114011
163,451687.7894021278,75125.32670787223,76286.66219706992,402288.311892885
164,438207.51034756756,73711.09875716473,75945.662264716,417556.9640391675
165,425206.8514743434,72119.00833632603,75392.66538672977,432735.85651259474
166,412701.2196355514,70367.48790766283,74635.5895327065,447783.23202820454
167,400701.3891162671,68475.81461693266,73684.34837206859,462659.12548577745
168,389213.7710561839,66463.71135848467,72550.60518445316,477325.7395716699
169,378240.7364911519,64350.972642184606,71247.49977322704,491747.7689368352
170,367780.97875322535,62157.122472498035,69789.36094063283,505892.6674425469
171,357829.901202279,59901.11219198022,68191.41182322193,519730.8572498598
172,348380.01479990163,57601.06412826268,66469.47867053025,533235.8788200535
173,339421.3369093513,55274.060847794266,64639.71030694238,546384.4833990728
174,330941.7797117201,52935.98240416176,62718.31450586687,559156.670978866
175,322927.52113250556,50601.38918398815,60721.31687385179,571535.6776408008
176,315363.35258568655,48283.44690896295,58664.34669885832,583507.9169612838
177,308232.9991457845,45993.890395640396,56562.45159262453,595062.8814375367
178,301519.4096868934,43743.02124483206,54429.94227470291,606193.0098751379
179,295205.01601744205,41539.733872298726,52280.26826178928,616893.5265332381
180,289271.9607175947,39391.565235247086,50125.923031611426,627162.2583967745
181,283702.29447753326,37304.76324961935,47978.37706925846,636999.4363745701
182,278478.14465224877,35284.36859106877,45848.03719731917,646407.4856134276
183,273581.8566570279,33334.30645097031,43744.22895109295,655390.8099714222
184,268996.11058058596,31457.48391880641,41675.199343853375,663955.5752571184
185,264704.0154726423,29655.889827656087,39648.137369834214,672109.4945935202
186,260689.18354808792,27930.694712433684,37669.208687303835,679861.61957259
187,256935.78686500565,26282.348397291902,35743.60210031257,687222.139508078
188,253428.598786879,24710.673597028916,33875.58497663627,694202.1909539626
189,250153.02207718664,23214.95458561294,32068.565248818868,700813.6789402892
190,247095.10612753025,21794.019613371398,30325.157423915894,707069.1113181092
191,244241.55471474386,20446.316861150448,28647.251159195628,712981.44647251
192,241579.7259823627,19169.983619089635,27036.08060844694,718563.9548160642
193,239097.62615474482,17962.908573184544,25492.29290690594,723830.094303218
194,236783.89817432367,16822.78737223587,24016.014977335035,728793.399420011
195,234627.80629157927,15747.171691371534,22606.91774732864,733467.3833132767
196,232619.21758670418,14733.51217900639,21264.276951719174,737865.4525196116
197,230748.581199293,13779.195671557896,19987.030146218553,742000.8335073276
198,229006.9059245871,12881.577095436995,18773.82965741698,745886.5102282182
199,227385.73673321074,12038.006575859119,17623.091230235073,749535.1718415593
200,225877.13062281883,11245.852201361211,16533.038325907815,752959.1697999601
201,224473.63222429313,10502.518845099909,15501.74216780731,756170.4833760463
202,223168.24945352186,9805.463539800707,14527.157588112404,759180.6927890611
203,221954.42943672338,9152.207810470209,13607.15484909731,762000.9591255416
204,220826.03490626364,8540.34734567065,12739.54766405763,764642.0102513001
205,219777.32121667595,7967.559322815926,11922.11769546131,767114.1319719574
206,218802.914077238,7431.607776531201,11152.635708991478,769427.1637779636
207,217897.78808890362,6930.347245354343,10428.87969445075,771590.4985400605
208,217057.2461424205,6461.7249729406685,9748.650226565582,773613.0855491548
209,216276.89971720212,6023.781900961749,9109.783336553372,775503.4363529799
210,215552.65007561506,5614.6526842335115,8510.161094339044,777269.6329644647
211,214880.67038275953,5232.564834617839,7947.7202031731,778919.3380034325
212,214257.3887371988,4875.837208830506,7420.458818331197,780459.8063593648
213,213679.47209610566,4542.877961584137,6926.441794296063,781897.8980659294
214,213143.811071151,4232.1820902911495,6463.804553061934,783240.0920920849
215,212647.50558322706,3942.32863444076,6030.75580356937,784492.5007685454
216,212187.85133454917,3671.9776465595037,5625.579205895243,785660.8846805284
217,211762.3270700187,3419.8670036076446,5246.634173253403,786750.6677929941
218,211368.58260083586,3184.809104765383,4892.355913106935,787766.9526881356
219,211004.42754331967,2965.6875304294476,4561.254953893493,788714.535640835
220,210667.8207555588,2761.453655918845,4251.916019406449,789597.9216939277
221,210356.86041698037,2571.12331893016,3962.9965642873476,790421.3393756846
222,210069.7747443203,2393.7735071981524,3693.224934182611,791188.7551360247
223,209804.9132896618,2228.5391199601104,3441.3983329666553,791903.8873197889
224,209560.7387934097,2074.6098157492306,3206.380536076009,792570.2197526388
225,209335.81954525507,1931.2269875225547,2987.099415159894,793191.0148803134
226,209128.82226463535,1797.6807997535916,2782.5444367054047,793769.3263524504
227,208938.50543442744,1673.3073555341457,2591.7640721503676,794308.0111116797
228,208763.7130758277,1557.4859723680938,2413.8631906721716,794809.7409501597
229,208603.36890840842,1449.6366480865158,2248.0003341031343,795277.0136086907
230,208456.47094166672,1349.2175290192552,2093.3852154638976,795712.1632184612
231,208322.0863881259,1255.72259846738,1949.2760811820242,796117.3703372554
232,208199.34692888032,1168.6794521150302,1814.9771911902073,796494.6714283982
233,208087.44430593017,1087.647163900337,1689.8363993765488,796845.9678220995
234,207985.6261924093,1012.214321264959,1573.2427264433156,797173.0342371174
235,207893.19235293058,941.9971251614855,1464.6240818013132,797477.5267985116
236,207809.49106892134,876.637615419403,1363.4450509049047,797760.9905996074
237,207733.91578162022,815.8020027464045,1269.20475085531,798024.8668713929
238,207665.9019902034,759.1790904979522,1181.4348095617918,798270.4996834637
239,207604.92435117657,706.4787959567599,1099.6974227478513,798499.142266344
240,207550.49397237462,657.4307613861005,1023.5835008544163,798711.9629595305
241,207502.155894733,611.7830477646621,952.7109135195069,798910.0507915075
