DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
GUAINIA;e5;O;S;9
GUAINIA;e6;O;S;1
GUAINIA;e7;O;S;0
GUAVIARE;e0;O;S;0
GUAVIARE;e1;O;S;4
GUAVIARE;e2;O;S;543
GUAVIARE;e3;O;S;314
GUAVIARE;e4;O;S;125
GUAVIARE;e5;O;S;63
GUAVIARE;e6;O;S;14
GUAVIARE;e7;O;S;3
HUILA;e0;O;S;0
HUILA;e1;O;S;280
HUILA;e2;O;S;11784
HUILA;e3;O;S;5993
HUILA;e4;O;S;2090
HUILA;e5;O;S;803
HUILA;e6;O;S;223
HUILA;e7;O;S;40
LA GUAJIRA;e0;O;S;0
LA GUAJIRA;e1;O;S;62
LA GUAJIRA;e2;O;S;5566
LA GUAJIRA;e3;O;S;3581
LA GUAJIRA;e4;O;S;1119
LA GUAJIRA;e5;O;S;356
LA GUAJIRA;e6;O;S;86
LA GUAJIRA;e7;O;S;11
MAGDALENA;e0;O;S;0
MAGDALENA;e1;O;S;207
MAGDALENA;e2;O;S;10116
MAGDALENA;e3;O;S;5612
MAGDALENA;e4;O;S;1865
MAGDALENA;e5;O;S;698
MAGDALENA;e6;O;S;175
MAGDALENA;e7;O;S;28
META;e0;O;S;0
META;e1;O;S;238
META;e2;O;S;9220
META;e3;O;S;5073
META;e4;O;S;1566
META;e5;O;S;574
META;e6;O;S;123
META;e7;O;S;17
NARINO;e0;O;S;0
NARINO;e1;O;S;164
NARINO;e2;O;S;17670
NARINO;e3;O;S;9082
NARINO;e4;O;S;2428
NARINO;e5;O;S;705
NARINO;e6;O;S;154
NARINO;e7;O;S;15
NORTE DE SANTANDER;e0;O;S;0
NORTE DE SANTANDER;e1;O;S;183
NORTE DE SANTANDER;e2;O;S;14329
NORTE DE SANTANDER;e3;O;S;6710
NORTE DE SANTANDER;e4;O;S;1951
NORTE DE SANTANDER;e5;O;S;786
NORTE DE SANTANDER;e6;O;S;296
NORTE DE SANTANDER;e7;O;S;53
PUTUMAYO;e0;O;S;0
PUTUMAYO;e1;O;S;46
PUTUMAYO;e2;O;S;2120
PUTUMAYO;e3;O;S;1544
PUTUMAYO;e4;O;S;531
PUTUMAYO;e5;O;S;116
PUTUMAYO;e6;O;S;28
PUTUMAYO;e7;O;S;4
QUINDIO;e0;O;S;0
QUINDIO;e1;O;S;65
QUINDIO;e2;O;S;5653
QUINDIO;e3;O;S;2755
QUINDIO;e4;O;S;1010
QUINDIO;e5;O;S;415
QUINDIO;e6;O;S;159
QUINDIO;e7;O;S;25
RISARALDA;e0;O;S;0
RISARALDA;e1;O;S;82
RISARALDA;e2;O;S;9730
